,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,Number of bath rooms,Number of rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Type of garage,Other space inside the building,Garden location,Back garden
23,Available in consultation,385000,8953,Shower and toilet,Resale,A  ,8,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,2 ,43,Alongside a quiet road and in residential district,1 bathroom,"2  ,1 ",1,,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Available,Paid parking and resident's parking permits,,143,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42619041-sportstraat-21-i,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2014, in ownership)",10,,Yes,Yes (€ 91.08 per month),,Yes,Yes,,Upstairs apartment (apartment), 91.08  ,,,,1 ,,
24,Available in consultation,535000,9224,Toilet,Resale,C  ,6,Optical fibre,Back garden,CH boiler,CH boiler,Triple glazed,,"March 1, 2022",58,Alongside a quiet road and in residential district,1 bathroom,"2  ,1 ",1,,,Available,Paid parking and resident's parking permits,Gable roof covered with roof tiles,201,1929,https://www.funda.nl/en/koop/amsterdam/appartement-42625082-woubruggestraat-6-h,Yes,,Yes,"2015, in ownership",6,Grou ,No,Yes (€ 70.00 per month),,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 70.00  ,,,,,Located at the west,"52 m² (8 meter deep and 6,5 meter broad)"
25,Available immediately,325000,5508,Shower and toilet,Resale,A 1.18  ,6,Electricity,,CH boiler,CH boiler,Double glazing,,5 ,59,"Alongside a quiet road, in residential district and unobstructed surrounding view",1 bathroom,"2  ,1 ",1,,,Under offer,Public parking and resident's parking permits,Flat roof covered with asphalt roofing,153,1985,https://www.funda.nl/en/koop/amsterdam/appartement-42692788-louis-davidsstraat-29,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2010, in ownership)",4,2 ,Yes,Yes (€ 105.35 per month),,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 105.35  ,Energie Prestatie Advies,,,,,
26,Available in consultation,2400000,10959,Bath,Resale,A  ,,Mechanical ventilation and sliding door,Back garden,CH boiler and complete floor heating,CH boiler,Double glazing and floor insulation,,2 ,219,In residential district,2 bathrooms and 2 separate toilets,"5  ,4 ",2,,,Sold under reservation,Paid parking and resident's parking permits,,646,1913,https://www.funda.nl/en/koop/amsterdam/appartement-42613522-de-lairessestraat-50-h,No,,No,"Gas-fired combination boiler from 2021, in ownership",,,No,No,,No,No,,Double ground-floor apartment (apartment),,,,,,Located at the northwest,"65 m² (7,02 meter deep and 9,21 meter broad)"
27,Available in consultation,375000,3788,,Resale,B  ,,Electricity,Back garden and front garden,CH boiler,CH boiler,"Roof insulation, double glazing and floor insulation","Single-family home, row house",4 ,99,In residential district,1 separate toilet,"5  ,4 ",3,126,,Sold under reservation,Public parking,Gable roof covered with roof tiles,287,1984,https://www.funda.nl/en/koop/amsterdam/huis-42694682-wethouder-serrurierstraat-101,,,,"Nefit HR (gas-fired combination boiler, in ownership)",5,,,,,,,Detached brick storage,,,,,,,Located at the southeast accessible via the rear,"54 m² (10,48 meter deep and 5,13 meter broad)"
28,Available in consultation,595000,8623,,Resale,,1,,,,,,,7 ,69,,,"3  ,2 ",2,,,Available,,,374,1902,https://www.funda.nl/en/koop/amsterdam/appartement-42674633-da-costakade-63-h,No,,No,,,Grou ,No,No,G ,No,No,,Ground-floor apartment (apartment), 67.00  ,,,,75 ,,
29,Available in consultation,1385000,8994,"Bath, 3 showers and 3 toilets",Resale,Not required,14,"Electricity, heating and running water",,CH boiler,CH boiler,No insulation,,2 ,154,In center,3 bathrooms and 1 separate toilet,"6  ,3 ",3,,"Heritage listed, listed building (national monument) and monumental building",Available,"Paid parking, public parking and resident's parking permits",Pyramid hip roof covered with roof tiles,455,1906,https://www.funda.nl/en/koop/amsterdam/appartement-88077470-spuistraat-253-iii,Yes,Roof terrace present,Yes,Hoog rendement met hydrofoor (in ownership),4,3 ,Yes,Yes (€ 255.00 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 255.00  ,,,,,,
30,Available immediately,595000,7000,,Resale,E  ,,,,CH boiler,CH boiler,,,6+ ,85,In center,,"3  ,2 ",1,,,Available,Paid parking and resident's parking permits,,256,1905,https://www.funda.nl/en/koop/amsterdam/appartement-87565649-kuiperssteeg-5-b,Yes,French balcony present,No,,2,1 ,No,No,,No,No,Built-in,Mezzanine (apartment), 96.00  ,,,,,,
31,Available in consultation,300000,9677,Toilet,Resale,Not required,3,,,Communal central heating,CH boiler,Partly double glazed,,"March 4, 2022",31,,1 bathroom,"2  ,1 ",1,,Listed building (national monument),Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,84,,https://www.funda.nl/en/koop/amsterdam/appartement-42629227-korte-geuzenstraat-104,Yes,Balcony present,No,,,,Yes,Yes,,Yes,Yes,,Galleried apartment (apartment),,,,,,,
32,Available in consultation,900000,7143,Bath and shower,Resale,A  ,,Mechanical ventilation and TV via cable,Back garden,CH boiler,CH boiler,Double glazing,,"March 12, 2022",126,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"5  ,4 ",2,,,Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,400,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42637392-reinier-claeszenstraat-78-h,Yes,,Yes,"Intergas HRE (gas-fired from 2017, in ownership)",,Grou ,Yes,Yes (€ 120.00 per month),,Yes,Yes,,Ground-floor apartment (apartment), 120.00  ,,,,,Located at the east,"61 m² (10,7 meter deep and 5,7 meter broad)"
33,Available in consultation,350000,7609,Shower and toilet,Resale,D 1.50  ,6,TV via cable,,CH boiler,CH boiler,Double glazing,,"March 5, 2022",46,Alongside a quiet road and in residential district,1 bathroom,"3  ,2 ",1,,,Available,"Paid parking, public parking and resident's parking permits",Combination roof,150,1925,https://www.funda.nl/en/koop/amsterdam/appartement-42620246-chassestraat-12-2,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",6,2 ,Yes,Yes (€ 116.00 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 116.00  ,,,,,,
34,Available immediately,450000,9783,,Resale,C  ,,Electricity,,CH boiler,,,,4 ,46,,1 bathroom and 1 separate toilet,"2  ,1 ",4,,,Sold under reservation,Paid parking,,138,1988,https://www.funda.nl/en/koop/amsterdam/appartement-88989655-elandsgracht-82-c,Yes,,Yes,"2018, in ownership",,3 ,Yes,Yes,,No,Yes,Built-in,Upstairs apartment (apartment),,,,,6 ,,
35,Available in consultation,950000,7422,"Bath, shower and toilet",Resale,D  ,31,"Mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Partly double glazed,,6 ,128,In center,2 bathrooms and 1 separate toilet,"5  ,3 ",2,,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Sold under reservation,"Paid parking, public parking and resident's parking permits",Combination roof covered with asphalt roofing and roof tiles,434,1934,https://www.funda.nl/en/koop/amsterdam/appartement-42696333-rooseveltlaan-40-ii,Yes,Roof terrace present and balcony present,Yes,"Remeha (gas-fired combination boiler from 2011, in ownership)",,,Yes,Yes (€ 204.12 per month),,Yes,Yes,,Upstairs apartment (apartment), 204.12  ,,,,,,
36,Available in consultation,400000,4255,Shower,Resale,A  ,13,,,CH boiler,CH boiler,Double glazing,,"March 11, 2022",94,,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Available,Parking garage,,307,2006,https://www.funda.nl/en/koop/amsterdam/appartement-42637020-osdorper-ban-613,Yes,Balcony present,Yes,"Gas-fired combination boiler, in ownership",,,Yes,Yes,,Yes,Yes,,Apartment with shared street entrance (apartment),,, 121  ,,,,
37,Available in consultation,437100,4460,2 showers and 2 toilets,New,,,,Back garden,"District heating, complete floor heating and heat pump",District heating,Completely insulated,,6+ ,98,"On navigable waterway, alongside water, in residential district and unobstructed surrounding view",2 bathrooms and 1 separate toilet,"5  ,3 ",2,,,Sold under reservation,Parking garage,Flat roof covered with asphalt roofing and other,279,2022,https://www.funda.nl/en/koop/amsterdam/appartement-41282890-tip-maruggstraat-bouwnr-woonwerk-4,,,,,,1 ,,,A ,,,,Maisonnette (apartment),,,,Parking place,,,"27 m² (5,4 meter deep and 5 meter broad)"
38,Available in consultation,489000,4109,Bath and toilet,Resale,B  ,,Electricity,Patio/atrium,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",3 ,119,"Alongside a quiet road, sheltered location and in residential district",1 bathroom and 1 separate toilet,"5  ,3 ",2,94,Partly furnished with carpets and curtains,Available,Public parking,Flat roof covered with asphalt roofing,407,1998,https://www.funda.nl/en/koop/amsterdam/huis-42616862-morrahof-6,,,,"Intergas (gas-fired from 2018, in ownership)",,,,,,,,Built-in,,,,,,,Located at the southeast,
39,Available in consultation,375000,9146,Shower,Resale,E  ,5,TV via cable,,CH boiler,CH boiler,Double glazing,,"March 3, 2022",41,"Alongside a quiet road, on navigable waterway, alongside water, in center and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,1 ",1,,Partly furnished with carpets and curtains,Available,Paid parking and resident's parking permits,Mansard roof covered with asphalt roofing,131,1906,https://www.funda.nl/en/koop/amsterdam/appartement-42626715-hobbemakade-65-e,Yes,Balcony present,Yes,"HR (gas-fired combination boiler, in ownership)",,2 ,Yes,No,,Yes,Yes,,Upstairs apartment (apartment), 131.00  ,,,,,,
40,Available in consultation,400000,7018,Toilet,Resale,D  ,7,Electricity,,CH boiler,CH boiler,Double glazing,,5 ,57,Alongside busy road and in residential district,1 bathroom,"3  ,1 ",1,,Listed building (national monument),Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,167,1927,https://www.funda.nl/en/koop/amsterdam/appartement-42693029-hoofdweg-387-3,Yes,Balcony present,Yes,"HR Intergas (gas-fired combination boiler from 2014, in ownership)",9,3 ,Yes,Yes (€ 135.00 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 135.00  ,,,,,,
41,Available in consultation,550000,6962,Shower,Resale,A 0.90  ,5,Electricity,,CH boiler,CH boiler,Double glazing,,2 ,79,Alongside a quiet road and in residential district,1 bathroom and 1 separate toilet,"5  ,3 ",2,,,Available,Paid parking and resident's parking permits,Gable roof covered with roof tiles,230,1919,https://www.funda.nl/en/koop/amsterdam/appartement-42654923-putterstraat-24,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2020, in ownership)",4,1 ,Yes,Yes (€ 89.20 per month),,Yes,Yes,Storage box,Maisonnette (apartment), 89.20  ,Energie Prestatie Advies,,,,,
42,Available in consultation,365000,10139,,Resale,C 1.31  ,9,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,3 ,36,Alongside a quiet road,1 bathroom and 1 separate toilet,"2  ,1 ",1,,,Available,Paid parking and resident's parking permits,,120,1912,https://www.funda.nl/en/koop/amsterdam/appartement-42603067-jan-bernardusstraat-7-iii,No,Balcony present and french balcony present,Yes,"Remeha Tzerra (gas-fired from 2018, in ownership)",,4 ,No,Yes,,Yes,No,,Upstairs apartment (apartment),,, 130  ,,,,
43,Available in consultation,585000,7134,Bath and shower,Resale,,5,"Elevator, sliding door and TV via cable",,,CH boiler,Double glazing,,"March 12, 2022",82,"Alongside a quiet road, in residential district, freestanding location and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",1,,Partly furnished with carpets and curtains,Available,"Paid parking, public parking and resident's parking permits",,253,1979,https://www.funda.nl/en/koop/amsterdam/appartement-42635905-iepenplein-96,Yes,Balcony present,Yes,,7,3 ,Yes,Yes (€ 243.29 per month),B ,Yes,Yes,,Mezzanine (apartment), 243.29  ,Energie Prestatie Advies,,,,,
45,Available in consultation,425000,7589,Shower and toilet,Resale,Not required,7,Mechanical ventilation,,CH boiler,CH boiler,"Double glazing, energy efficient window and floor insulation",,"March 9, 2022",56,Alongside a quiet road and in residential district,1 bathroom,"3  ,2 ",1,,Listed building (national monument),Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,184,1935,https://www.funda.nl/en/koop/amsterdam/appartement-42635965-willem-de-zwijgerlaan-88-3,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2017, in ownership)",4,3 ,Yes,Yes (€ 119.17 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 119.17  ,,,,,,
46,Available immediately,445000,5933,Shower,Resale,,5,Electrical door,,District heating,,,,5 ,75,,1 bathroom,"2  ,1 ",1,,,Under offer,"Paid parking, parking on gated property and parking on private property",,235,2002,https://www.funda.nl/en/koop/amsterdam/appartement-88806447-borneolaan-167,Yes,Balcony present,Yes,,3,1 ,Yes,Yes (€ 124.64 per month),B ,Yes,Yes,Built-in,Mezzanine, 124.64  ,,,Built-in and parking place,,,
47,Available in consultation,1095000,8295,Bath and shower,Resale,Not required,,,,CH boiler and gas heaters,CH boiler,Partly double glazed,,"March 1, 2022",132,Alongside water and in center,1 bathroom and 1 separate toilet,"4  ,1 ",2,,"Protected townscape or village view (permit needed for alterations), listed building (national monument) and monumental building",Available,"Paid parking, public parking and resident's parking permits",,553,1715,https://www.funda.nl/en/koop/amsterdam/appartement-42614036-kloveniersburgwal-61-a,Yes,,Yes,"Remeha (gas-fired combination boiler from 2020, in ownership)",3,Grou ,Yes,No,,Yes,Yes,Storage box,Ground-floor apartment (apartment), 214.00  ,,,,,,
48,Available in consultation,400000,7407,Shower and toilet,Resale,D  ,4,Electricity,,CH boiler,CH boiler,Roof insulation and double glazing,,3 ,54,Alongside a quiet road and in residential district,1 bathroom,"3  ,2 ",1,,Partly furnished with carpets and curtains,Under offer,Paid parking,Flat roof covered with asphalt roofing,180,1935,https://www.funda.nl/en/koop/amsterdam/appartement-88065123-adriaan-van-bergenstraat-6-iii,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler, in ownership)",5,4 ,Yes,Yes (€ 119.17 per month),,Yes,Yes,Storage box,Upstairs apartment (apartment), 119.17  ,,,,,,
49,Available in consultation,425000,9043,Shower,Resale,,7,Mechanical ventilation and TV via cable,,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",,5 ,47,"Alongside busy road, in center and in residential district",1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Paid parking and resident's parking permits,Gable roof covered with roof tiles,150,1899,https://www.funda.nl/en/koop/amsterdam/appartement-42551557-jan-pieter-heijestraat-139-3,Yes,Balcony present and french balcony present,Yes,"Intergas 28/24 (gas-fired combination boiler from 2021, in ownership)",,3 ,Yes,Yes,G ,Yes,Yes,,Upstairs apartment (apartment),,Energie Prestatie Advies,,,,,
50,Available in consultation,600000,5128,Shower and toilet,Resale,A  ,,Electricity,Back garden and front garden,CH boiler,CH boiler,Completely insulated,"Single-family home, row house",3 ,117,In residential district,1 bathroom and 1 separate toilet,"5  ,4 ",3,126,,Sold under reservation,Parking on private property,Gable roof covered with roof tiles,416,2014,https://www.funda.nl/en/koop/amsterdam/huis-88908182-eeuwige-jeugdlaan-20,,,,"Intergas (gas-fired combination boiler from 2014, in ownership)",7,,,,,,,Detached wooden storage,,,,,,,Located at the south accessible via the rear,"73 m² (14 meter deep and 5,2 meter broad)"
51,Available in consultation,460000,6765,Shower,Resale,C  ,6,Electricity,,CH boiler,CH boiler,Double glazing,,2 ,68,Alongside a quiet road,1 bathroom,"3  ,2 ",1,,,Under offer,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,225,,https://www.funda.nl/en/koop/amsterdam/appartement-88072384-wagenaarstraat-401,Yes,,Yes,"Remeha (gas-fired combination boiler from 2016, in ownership)",7,1 ,Yes,Yes (€ 138.96 per month),,Yes,Yes,Built-in,Upstairs apartment (apartment), 138.96  ,,,,,,
