,Annual meeting,Asking price,Asking price per m²,Balcony/roof garden,Bathroom facilities,Building insurance,Building type,CH boiler,Energy label,Exterior space attached to the building,Facilities,Heating,Hot water,Insulation,Listed since,Living area,Located at,Location,Maintenance plan,Number of bath rooms,Number of rooms,Number of stories,Periodic contribution,Registration with KvK,Reserve fund present,Specific,Status,Type apartment,Type of parking facilities,Volume in cubic meters,Year of construction,Back garden,Garden,Garden location,Kind of house,Other space inside the building,Type of garage,External storage space,Provisional energy label,Shed / storage,VVE (Owners Association) contribution,Type of roof,Plot size
10,Yes,350000,2846,Balcony present and french balcony present,Bath,Yes,Resale property,"Intergas Kombi Kompact HRE 28/24A (gas-fired combination boiler from 2021, in ownership)",,18,Mechanical ventilation,CH boiler,CH boiler,Double glazing and completely insulated,3 ,123,3 ,,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 196.41 per month),Yes,Yes,,Sold under reservation,Upstairs apartment (apartment),Parking on private property and public parking,377,2001,,,,,,,4,B ,Built-in, 196.41  ,Flat roof covered with asphalt roofing,
11,Yes,1130500,9500,French balcony present,Toilet,Yes,Resale property,,C 1.33  ,7,Elevator and mechanical ventilation,District heating and complete floor heating,Central facility,Completely insulated,2 ,119,17 ,In center and unobstructed surrounding view,Yes,1 bathroom,3 rooms (2 bedrooms),1,Yes (€ 203.00 per month),Yes,Yes,Furnished,Available,Apartment with shared street entrance (apartment),Parking garage and resident's parking permits,398,2011,,,,,,,,,, 203.00  ,Flat roof covered with asphalt roofing,
12,,495000,3898,,Toilet,,Resale property,"Gas-fired combination boiler from 2013, in ownership",B  ,,Electricity,CH boiler,CH boiler,Double glazing,3 ,127,,Alongside a quiet road and in residential district,,1 bathroom and 1 separate toilet,6 rooms (5 bedrooms),3,,,,,Under offer,,Public parking,435,1975,"55 m² (10 meter deep and 5,51 meter broad)",Back garden and front garden,Located at the northwest accessible via the rear,"Single-family home, row house",,,9,,Detached brick storage,,Combination roof covered with asphalt roofing and roof tiles,145
13,,1385000,7251,Balcony present,Bath,,Resale property,"Nefit (gas-fired combination boiler from 2018, in ownership)",D  ,3,Electricity,CH boiler,CH boiler,Roof insulation and double glazing,2 ,191,,"Alongside a quiet road, In wooded surroundings, in residential district and freestanding location",,2 bathrooms and 3 separate toilets,8 rooms (6 bedrooms),4,,,,Protected townscape or village view (permit needed for alterations),Available,,Parking on private property and public parking,731,1926,"161 m² (14,6 meter deep and 11 meter broad)","Back garden, front garden and side garden",Located at the northwest,"Desirable residence/villa, double house",,Detached brick garage,17,,,,Gable roof covered with roof tiles,326
15,Yes,495000,3300,Balcony present,Bath and 2 showers,Yes,Resale property,"Daalderop (gas-fired combination boiler, in ownership)",,5,TV via cable,CH boiler,CH boiler,Double glazing,4 ,150,2 ,"On the edge of a forest, alongside busy road and unobstructed surrounding view",No,2 bathrooms and 2 separate toilets,5 rooms (4 bedrooms),2,Yes (€ 90.00 per month),Yes,Yes,,Sold under reservation,Upstairs apartment (double upstairs apartment),Paid parking and resident's parking permits,533,1933,,,,,,,,G ,, 90.00  ,Gable roof covered with roof tiles,
16,Yes,350000,4167,Balcony present,Shower,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler from 2013, in ownership)",E  ,5,Electricity,CH boiler,CH boiler,Partly double glazed,"March 5, 2022",84,4 ,"Alongside a quiet road, In wooded surroundings, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,3 rooms (1 bedroom),1,Yes (€ 180.00 per month),Yes,Yes,,Available,Upstairs apartment (apartment),Public parking,305,1952,,,,,1 ,,3,,Built-in, 180.00  ,Gable roof covered with roof tiles,
17,Yes,315000,3150,Balcony present,Shower,Yes,Resale property,,C  ,14,Electricity,Communal central heating,Electrical boiler,Partly double glazed,"March 2, 2022",100,5 ,"Sheltered location, in residential district and unobstructed surrounding view",Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 252.00 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Paid parking and public parking,336,1960,,,,,,Detached brick garage,18,,Built-in, 252.00  ,Flat roof covered with asphalt roofing,
18,Yes,298000,4806,Balcony present,Bath,Yes,Resale property,"Remeha Quinta (gas-fired combination boiler, in ownership)",D  ,3,Flue,CH boiler,CH boiler,,3 ,62,2 ,"Alongside a quiet road, unobstructed surrounding view and seaview",No,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 180.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (apartment with open entrance to street),Paid parking and resident's parking permits,214,1938,,,,,,,,,, 180.00  ,Flat roof,
19,Yes,449000,5612,Balcony present,"Bath, shower and toilet",Yes,Resale property,"2021, in ownership",A  ,6,Elevator and mechanical ventilation,CH boiler,CH boiler,,"March 4, 2022",80,Grou ,Alongside busy road and in residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes,Yes,Yes,,Available,Ground-floor apartment (apartment),Parking garage,215,2001,,,,,,Parking place,4,,Storage box,,,
20,,750000,4688,Balcony present,"Bath, 2 showers and 2 toilets",,Resale property,"Daalderop HR (gas-fired combination boiler from 2009, in ownership)",D  ,14,"Skylight, optical fibre, mechanical ventilation, flue, sliding door, TV via cable and solar panels",CH boiler,CH boiler,No insulation,"March 4, 2022",160,,"In residential district, freestanding location and unobstructed surrounding view",,2 bathrooms and 1 separate toilet,7 rooms (6 bedrooms),3,,,,,Available,,"Paid parking, public parking and resident's parking permits",450,1926,"49 m² (8,2 meter deep and 5,97 meter broad)",Back garden,Located at the southwest accessible via the rear,"Single-family home, corner house",14 ,,4,,Detached wooden storage,,Flat roof covered with asphalt roofing,114
21,No,690000,3538,Balcony present,Bath,Yes,Resale property,"Intergas Kombi Kompakt HRE (gas-fired combination boiler from 2022, in ownership)",C  ,6,"Skylight, mechanical ventilation and passive ventilation system",CH boiler,CH boiler,Double glazing,2 ,195,2 ,,No,1 bathroom and 2 separate toilets,9 rooms (4 bedrooms),3,Yes (€ 40.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Available,Upstairs apartment (double upstairs apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",690,1934,,,,,,,,,, 40.00  ,Gable roof covered with roof tiles,
22,Yes,1195000,8299,,,Yes,New property,,,21,Elevator and solar panels,Complete floor heating,,"Roof insulation, double glazing, energy efficient window, insulated walls, floor insulation and completely insulated",4 ,144,4 ,"Alongside park, alongside a quiet road, In wooded surroundings and in residential district",Yes,,3 rooms (2 bedrooms),1,Yes (€ 0.00 per month),Yes,Yes,,Available,Penthouse (apartment),,432,2022,,,,,,Underground parking,,,, 0.00  ,,
23,Yes,225000,3261,,,Yes,Resale property,"Remeha (gas-fired combination boiler from 2008, in ownership)",D  ,,Alarm installation,CH boiler,CH boiler,Partly double glazed,3 ,69,1 ,,No,1 separate toilet,3 rooms (2 bedrooms),1,Yes,Yes,No,,Under offer,Apartment with shared street entrance (apartment),Paid parking and public parking,245,1936,,,,,,,,,,,Flat roof covered with asphalt roofing,
24,Yes,250000,3333,,Bath,Yes,Resale property,,E  ,,,Gas heaters,Gas water heater,No insulation,2 ,75,Grou ,Alongside a quiet road and in residential district,Yes,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes (€ 95.00 per month),Yes,Yes,,Under offer,Ground-floor apartment (apartment with open entrance to street),Public parking and resident's parking permits,254,1936,"71 m² (10,14 meter deep and 7,05 meter broad)",Back garden and front garden,Located at the southwest,,,,4,,Detached brick storage, 95.00  ,Flat roof,
25,No,849000,4540,Roof terrace present and balcony present,"Bath, 2 showers and toilet",No,Resale property,"Nefit (gas-fired combination boiler, in ownership)",F  ,70,"Skylight, flue and TV via cable",CH boiler,CH boiler,,6+ ,187,1 ,In center,No,2 bathrooms and 1 separate toilet,6 rooms (4 bedrooms),3,No,No,No,,Available,Upstairs apartment (double upstairs apartment),Paid parking and resident's parking permits,717,1904,,,,,,,2,,,,Flat roof covered with asphalt roofing,
26,Yes,549000,4733,Balcony present,Bath and shower,Yes,Resale property,"Remeha (gas-fired combination boiler from 2015, in ownership)",F  ,10,TV via cable,CH boiler,CH boiler,Partly double glazed,6 ,116,1 ,In residential district,Yes,1 bathroom and 2 separate toilets,5 rooms (4 bedrooms),2,No,Yes,No,,Sold under reservation,Upstairs apartment (double upstairs apartment),Public parking,413,,,,,,,,,,,,Flat roof covered with asphalt roofing,
28,No,625000,4401,Balcony present,,Yes,Resale property,,,9,Flue and TV via cable,Communal central heating,Electrical boiler (rental) and gas water heater (rental),Partly double glazed,4 ,142,3 ,"Alongside a quiet road, in residential district and unobstructed surrounding view",No,1 separate toilet,3 rooms (2 bedrooms),1,No,No,No,Protected townscape or village view (permit needed for alterations),Under offer,Upstairs apartment (apartment),Paid parking and resident's parking permits,508,1911,,,,,,,12,G ,Storage box,,Flat roof,
30,Yes,249000,2649,Balcony present,,Yes,Resale property,"Intergas (gas-fired combination boiler from 2011, in ownership)",,5,,CH boiler,CH boiler,Double glazing,4 ,94,1 ,,No,,3 rooms (2 bedrooms),2,Yes (€ 98.77 per month),Yes,Yes,,Available,Maisonnette (apartment),,333,1942,,,,,,,,G ,, 98.77  ,,
31,,675000,4891,,Bath and toilet,,Resale property,,,,Electricity,Complete floor heating and heat pump,Geothermal heating,Completely insulated,"March 12, 2022",138,,"Alongside park, alongside a quiet road and in residential district",,1 bathroom and 1 separate toilet,5 rooms (4 bedrooms),2,,,,,Available,,Parking on private property and public parking,472,2022,,Back garden and front garden,,"Desirable residence/villa, row house",,,7,,Detached wooden storage,,Hip roof covered with roof tiles,138
32,No,550000,4911,Balcony present,"Bath, shower and toilet",Yes,Resale property,"Vaillant (gas-fired combination boiler from 2016, in ownership)",F  ,6,Flue,CH boiler and fireplace,CH boiler,"Roof insulation, partly double glazed and floor insulation",2 ,112,3 ,"Alongside a quiet road, in residential district and unobstructed surrounding view",No,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),4,No,Yes,No,Protected townscape or village view (permit needed for alterations),Available,Upstairs apartment (double upstairs apartment),Paid parking and resident's parking permits,334,1888,,,,,,,,,, 90.00  ,,
33,,345000,3594,Balcony present,Toilet,,Resale property,,,6,Electricity,District heating,District heating,Completely insulated,3 ,96,,"Alongside a quiet road, alongside water and in residential district",,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),2,,,,,Sold under reservation,,Public parking,332,2003,,,,"Single-family home, row house",,,5,A ,Storage box,,Flat roof,53
34,Yes,249500,4708,,Bath and toilet,Yes,Resale property,"Remeha Avanta HR (gas-fired combination boiler from 2013, in ownership)",,,Electricity,CH boiler,CH boiler,No insulation,5 ,53,Grou ,Alongside a quiet road and in residential district,No,1 bathroom,2 rooms (1 bedroom),1,Yes (€ 40.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",160,1938,"79 m² (13,5 meter deep and 5,83 meter broad)",Back garden and front garden,Located at the southeast,,,,6,G ,Detached wooden storage, 40.00  ,Flat roof covered with asphalt roofing,
35,No,795000,3647,,2 showers and toilet,No,Resale property,,G  ,10,Mechanical ventilation,Gas heaters,Gas water heater,Partly double glazed,4 ,218,2 ,Alongside a quiet road,No,2 bathrooms and 1 separate toilet,8 rooms (5 bedrooms),3,No,No,No,,Available,Upstairs apartment,Paid parking,730,1900,,,,,,,,,,,,
36,Yes,197500,2500,,Shower,Yes,Resale property,,G  ,7,,,,,"March 11, 2022",79,3 ,In residential district,No,1 bathroom,4 rooms (2 bedrooms),1,No,Yes,No,,Available,Residential property with shared street entrance (apartment with open entrance to street),Public parking and resident's parking permits,250,1934,,,,,,,,,, 50.00  ,Flat roof,
37,Yes,725000,4143,Balcony present,"Bath, 2 showers and 2 toilets",Yes,Resale property,,,37,Electricity,Communal central heating,Central facility,Partly double glazed,6 ,175,8 ,"Alongside a quiet road, sheltered location, in residential district and unobstructed surrounding view",Yes,2 bathrooms and 1 separate toilet,6 rooms (3 bedrooms),1,Yes (€ 710.35 per month),Yes,Yes,,Available,Upstairs apartment (apartment),Public parking,559,1975,,,,,,Not yet present but possible,24,,Built-in, 710.35  ,,
38,Yes,450000,4545,,,Yes,Resale property,"Intergas HR (gas-fired combination boiler from 2010, in ownership)",D  ,,"Passive ventilation system, flue and TV via cable",CH boiler,CH boiler,,4 ,99,Grou ,In residential district,No,,4 rooms (2 bedrooms),1,Yes (€ 130.00 per month),Yes,Yes,,Sold under reservation,Ground-floor apartment (apartment with open entrance to street),"Paid parking, public parking and resident's parking permits",405,1922,"66 m² (8,25 meter deep and 8,05 meter broad)",Back garden,Located at the northwest,,,,5,,Detached brick storage, 130.00  ,Flat roof covered with asphalt roofing,
39,Yes,590000,3642,Roof terrace present,Bath and 2 showers,Yes,Resale property,"Intergas (gas-fired combination boiler from 2016, in ownership)",A  ,16,TV via cable,CH boiler,CH boiler,"Triple glazed, double glazing and insulated walls","March 3, 2022",162,2 ,"Alongside busy road, in residential district and unobstructed surrounding view",Yes,2 bathrooms and 2 separate toilets,6 rooms (5 bedrooms),2,Yes (€ 149.00 per month),Yes,Yes,,Available,Upstairs apartment (double upstairs apartment),Paid parking and resident's parking permits,627,1926,,,,,,,,,, 149.00  ,Combination roof covered with asphalt roofing and roof tiles,
40,,535000,3386,,"Bath, shower and toilet",,Resale property,,,,Electricity,District heating,Central facility,Double glazing,2 ,158,,"Alongside a quiet road, in residential district and unobstructed surrounding view",,1 bathroom and 1 separate toilet,6 rooms (5 bedrooms),3,,,,,Under offer,,Public parking,565,2002,102 m² (17 meter deep and 6 meter broad),Back garden and front garden,Located at the southwest accessible via the rear,"Desirable residence/villa, row house",,Carport and parking place,,A ,Detached brick storage,,Flat roof,179
41,Yes,249500,3080,Balcony present,Shower,Yes,Resale property,,E  ,8,"Outdoor awning, elevator and TV via cable",Communal central heating,Electrical boiler (rental),Double glazing,2 ,81,10 ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,4 rooms (2 bedrooms),1,Yes (€ 325.00 per month),Yes,Yes,,Under offer,Galleried apartment (apartment),Parking on gated property and parking on private property,255,1965,,,,,,,5,,Storage box, 325.00  ,,
42,,511000,4368,Balcony present,Shower,,New property,,,,Elevator and mechanical ventilation,District heating,District heating,Completely insulated,3 ,117,,In residential district,,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,,,,,Available,Upstairs apartment (apartment),Paid parking and public parking,327,2024,,,,,,,,A ,,,,
43,Yes,200000,3704,Balcony present,,Yes,Resale property,,D  ,6,Electricity,Communal central heating,Electrical boiler (rental),Mostly double glazed,4 ,54,3 ,In residential district,No,1 bathroom and 1 separate toilet,2 rooms (1 bedroom),1,Yes (€ 149.19 per month),Yes,Yes,,Sold under reservation,Galleried apartment,Parking on gated property,168,1973,,,,,,,3,,Storage box, 149.19  ,Flat roof,
44,Yes,449500,4732,Balcony present,,Yes,Resale property,"AWB (gas-fired combination boiler from 2011, in ownership)",B  ,11,Elevator and TV via cable,CH boiler,CH boiler,Double glazing and insulated walls,2 ,95,5 ,"Alongside busy road, in residential district and unobstructed surrounding view",Yes,1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 208.41 per month),Yes,Yes,,Available,Apartment with shared street entrance (apartment),Parking on gated property,287,1998,,,,,,,4,,Storage box, 208.41  ,Flat roof,
45,Yes,525000,4008,Roof terrace present and balcony present,Bath,Yes,Resale property,"Intergas HR (gas-fired combination boiler from 2020, in ownership)",C  ,21,"Skylight, rolldown shutters, flue and TV via cable",CH boiler and fireplace,CH boiler,Partly double glazed,2 ,131,2 ,Alongside a quiet road and in residential district,No,1 bathroom and 2 separate toilets,6 rooms (3 bedrooms),2,Yes (€ 33.33 per month),Yes,Yes,,Available,Upstairs apartment,Public parking,442,1950,,,,,,,4,,Storage box, 33.33  ,Gable roof covered with roof tiles,
46,Yes,300000,2941,Balcony present,,Yes,Resale property,"HR (2004, in ownership)",E  ,4,,CH boiler,CH boiler,Double glazing,5 ,102,2 ,Alongside a quiet road,No,1 separate toilet,5 rooms (3 bedrooms),3,Yes (€ 175.00 per month),Yes,Yes,,Sold under reservation,Upstairs apartment (double upstairs apartment),Public parking and resident's parking permits,423,1934,,,,,7 ,,,,, 175.00  ,Gable roof covered with roof tiles,
47,Yes,895000,6439,,"Bath, shower and 2 toilets",Yes,Resale property,,A  ,,"Alarm installation, outdoor awning, smart home and elevator",Gas heater and heat pump,,"Energy efficient window, insulated walls and floor insulation",5 ,139,Grou ,Alongside a quiet road and in residential district,Yes,2 bathrooms and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 393.00 per month),Yes,Yes,Protected townscape or village view (permit needed for alterations) and monumental building,Available,Ground-floor apartment (apartment),Paid parking and resident's parking permits,580,,"15 m² (0,05 meter deep and 0,04 meter broad)",Back garden,Located at the northeast,,,Built-in and parking place,,,, 393.00  ,,
48,Yes,350000,2574,,,Yes,Resale property,,,,TV via cable,District heating,District heating,Completely insulated,7 ,136,2 ,Alongside a quiet road,Yes,,5 rooms (4 bedrooms),1,Yes (€ 190.08 per month),Yes,Yes,,Sold under reservation,Galleried apartment (apartment),,439,2010,,,,,,,12,A ,Storage box, 190.08  ,,
49,Yes,425000,4670,Balcony present,,Yes,Resale property,,A  ,14,Electricity,"Geothermal heating, district heating, complete floor heating and heat recovery unit",Geothermal heating,"Triple glazed, energy efficient window and completely insulated",6 ,91,3 ,In residential district,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes (€ 144.94 per month),Yes,Yes,,Sold under reservation,Mezzanine (apartment),"Paid parking, public parking and parking garage",303,2020,,,,,,Underground parking,19,,Built-in, 144.94  ,Flat roof covered with asphalt roofing,
50,Yes,535000,4023,Balcony present,Bath and shower,Yes,Resale property,"Gas-fired combination boiler, in ownership",C  ,10,"Outdoor awning, mechanical ventilation and TV via cable",CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation","March 3, 2022",133,2 ,"On the edge of a forest, alongside a quiet road, in residential district and unobstructed surrounding view",Yes,2 bathrooms and 1 separate toilet,6 rooms (4 bedrooms),1,Yes (€ 220.00 per month),Yes,Yes,Double occupancy possible,Available,Apartment with shared street entrance (apartment),"Paid parking, public parking and resident's parking permits",400,1988,,,,,,,12,,Storage box, 220.00  ,Flat roof covered with asphalt roofing,
51,Yes,340000,3009,Balcony present,,Yes,Resale property,"Remeha Avanta (gas-fired combination boiler from 2011, in ownership)",C  ,7,,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls",7 ,113,4 ,Alongside busy road,No,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),1,Yes,Yes,Yes,,Available,Upstairs apartment,Parking garage and resident's parking permits,340,2001,,,,,,Underground parking,12,,Built-in,,Flat roof,
52,,425000,2951,Roof terrace present,,,Resale property,"AWB (gas-fired combination boiler from 2013, in ownership)",D  ,22,Electricity,CH boiler and fireplace,,"Roof insulation, double glazing and floor insulation",6 ,144,,In residential district and unobstructed surrounding view,,1 bathroom and 2 separate toilets,6 rooms (5 bedrooms),2,,,,Partly furnished with carpets and curtains,Available,,Public parking,588,1928,42 m² (7 meter deep and 6 meter broad),Back garden,Located at the east accessible via the rear,"Single-family home, row house",16 ,,,,Attached brick storage,,Gable roof covered with roof tiles,
53,No,500000,4274,Roof terrace present and balcony present,Bath and toilet,Yes,Resale property,"Intergas (gas-fired combination boiler, in ownership)",C  ,9,,CH boiler,CH boiler,Double glazing,3 ,117,3 ,Alongside a quiet road and in residential district,No,1 bathroom and 1 separate toilet,5 rooms (3 bedrooms),2,No,Yes,No,Protected townscape or village view (permit needed for alterations),Available,Maisonnette (double upstairs apartment),Paid parking and resident's parking permits,409,,,Sun terrace,Located at the northwest,,,,,,,,Combination roof covered with asphalt roofing,
54,,619000,4518,Roof terrace present and balcony present,"Bath, shower and toilet",,Resale property,"Remeha Calenta 28C CW4 ( combination boiler from 2010, in ownership)",B  ,14,,CH boiler,CH boiler,Roof insulation and double glazing,4 ,137,,"Alongside a quiet road, alongside water and in center",,1 bathroom and 1 separate toilet,6 rooms (3 bedrooms),4,,,,,Sold under reservation,,"Paid parking, public parking and resident's parking permits",450,1995,"27 m² (6,49 meter deep and 4,11 meter broad)",Back garden and sun terrace,Located at the southeast,"Single-family home, row house",,,,,,,Flat roof covered with asphalt roofing,75
55,Yes,850000,5519,Balcony present,"Bath, shower and toilet",Yes,Resale property,Remeha Avanta,A+  ,15,Elevator,CH boiler,CH boiler,Completely insulated,3 ,154,3 ,In residential district and unobstructed surrounding view,Yes,1 bathroom and 1 separate toilet,3 rooms (2 bedrooms),1,Yes,Yes,Yes,,Available,Upstairs apartment (apartment),,485,2010,,,,,,Underground parking,,,,,,
56,Yes,950000,7037,,Bath,Yes,New property,,,9,Electricity and heating,"Complete floor heating, heat recovery unit and heat pump",CH boiler,Energy efficient window and completely insulated,6+ ,135,1 ,,Yes,1 bathroom and 2 separate toilets,5 rooms (2 bedrooms),2,Yes,Yes,Yes,,Available,Maisonnette,Parking on gated property and parking on private property,537,2022,,Sun terrace,,,54 ,Parking place,5,A ,Built-in,,,
57,Yes,330000,3793,,Shower,Yes,Resale property,"Gas-fired combination boiler, in ownership",A  ,,Mechanical ventilation and sliding door,CH boiler and partial floor heating,CH boiler,Energy efficient window,5 ,87,1 ,,No,1 bathroom and 1 separate toilet,4 rooms (3 bedrooms),2,Yes,Yes,Yes,,Sold under reservation,Double ground-floor apartment (apartment),"Paid parking, public parking and resident's parking permits",306,2017,"10 m² (2,12 meter deep and 4,74 meter broad)",Back garden,Located at the northeast accessible via the rear,,,,6,,Detached wooden storage,,Flat roof covered with asphalt roofing,
58,No,895000,4786,Roof terrace present,2 baths and 2 toilets,No,Resale property,"Gas-fired combination boiler, in ownership",D  ,18,"Skylight, mechanical ventilation, flue and TV via cable",CH boiler,CH boiler,"Roof insulation, partly double glazed and insulated walls",3 ,187,1 ,In wooded surroundings and in residential district,No,2 bathrooms and 1 separate toilet,6 rooms (5 bedrooms),3,No,No,No,With carpets and curtains,Available,Upstairs apartment (double upstairs apartment),Resident's parking permits,703,1879,,,,,,,,,,,Gable roof covered with roof tiles,
